,flat_street,flat_price,flat_room_count,flat_area,flat_district
1835,"Північна вул., 48а",15999,3,71.0,Оболонський
1836,"Самійла Кішки вул. (Конєва), 5д",12000,1,35.0,Голосіївський
1837,"Максимовича вул. (Трутенка Онуфрія), 24а",15000,1,38.0,Голосіївський
1838,"Саперно-Слобідська вул., 10",22200,2,78.0,Голосіївський
1839,"Юлії Здановської вул. (Ломоносова), 85а",12000,1,40.0,Голосіївський
1840,"Регенераторна вул., 4/7",20000,3,82.0,Дніпровський
1841,"Лесі Українки бульв., 7б",40700,2,65.0,Печерський
1842,"Паньківська вул., 17",14000,1,38.0,Голосіївський
1843,"Берестейський просп. (Перемоги), 67",22000,1,64.5,Шевченківський
1844,"Голосіївський просп. (40-річчя Жовтня), 17",13500,2,46.0,Голосіївський
1845,"Миколи Міхновського бульв. (Дружби Народів), 14/16",21500,1,55.0,Печерський
1846,"Лютеранська вул., 3",18000,2,55.0,Печерський
1847,"Смілянська вул., 9",9000,1,40.0,Солом'янський
1848,"Юлії Здановської вул. (Ломоносова), 50/2",22000,2,50.0,Голосіївський
1849,"Тургенєвська вул., 74/68",33300,2,80.0,Шевченківський
1850,"Балтійський пров., 3-А",13500,1,45.0,Оболонський
1851,"Глибочицька вул., 73-77",37000,1,54.0,Шевченківський
1852,"Микільсько-Ботанічна вул., 11",35581,3,76.8,Голосіївський
1853,"Глушкова академіка просп., 9є",10000,1,56.0,Голосіївський
1854,"Ділова вул., 2б",44400,4,173.0,Печерський
1855,"Новопольова вул., 2",15500,1,47.0,Солом'янський
1856,"Глушкова академіка просп., 9 є",13000,3,100.0,Голосіївський
1857,"Верболозна вул., 29",4500,1,20.0,Подільський
1859,"Ясногірська вул., 16Г",14000,1,42.0,Шевченківський
1860,"Заболотного академіка вул., 1а",14500,1,41.0,Голосіївський
1861,"Михайла Бойчука вул. (Кіквідзе), 14",14500,1,36.0,Печерський
1862,"Бориса Гмирі вул., 1Б/6",10990,3,103.0,Дарницький
1863,"Світлицького вул., 24а",4000,2,50.0,Подільський
1864,"Копилівська вул., 67б",3000,1,80.0,Подільський
1865,"Романа Ратушного вул. (Волгоградська), 25А",10000,1,36.0,Солом'янський
1866,"Рокоссовського маршала просп., 10а",5000,1,30.0,Оболонський
1867,"Драгомирова вул., 2а",55000,3,128.0,Печерський
1868,"Мишуги Олександра вул., 2",11000,1,57.0,Дарницький
1870,"Коломийський пров., 17/31",37000,3,82.0,Голосіївський
1871,"Юлії Здановської вул. (Ломоносова), 50/2",27000,3,92.0,Голосіївський
1872,"Драгомирова вул., 15б",29600,2,60.0,Печерський
1875,"Жилянська вул., 118",40700,2,83.0,Шевченківський
1876,"Євгена Коновальця вул. (Щорса), 36Е",17500,1,45.0,Печерський
1877,"Євгена Коновальця вул. (Щорса), 7/9",22500,2,57.0,Печерський
1878,"Балтійський пров., 3",10500,1,43.0,Оболонський
1879,"Електриків пров., 9",4500,1,33.0,Подільський
1880,"Берестейський просп. (Перемоги), 125",9500,1,50.0,Святошинський
1881,"Чорновола В'ячеслава вул., 25",27900,4,126.0,Шевченківський
1882,"Довженка Олександра вул., 16а",18000,3,78.0,Шевченківський
1883,"Володимира Івасюка просп. (Героїв Сталінграда), 10а",55500,4,200.0,Оболонський
1884,"Полярна вул., 8д",8000,1,39.0,Оболонський
1885,"Кібальчича Миколи вул., 21",5000,1,30.0,Дніпровський
1886,"Мілютенка вул., 17",8500,2,45.0,Деснянський
1887,"Некрасівська, 6",22200,5,140.0,Шевченківський
1888,"Бориса Гмирі вул., 16",14000,2,75.0,Дарницький
1889,"Чавдар Єлизавети вул., 14",7990,2,62.0,Дарницький
1890,"Джона Маккейна вул. (Кудрі Івана), 1",27750,2,52.0,Печерський
1891,"Поповича космонавта вул. (Волкова космонавта), 12",6500,2,48.0,Деснянський
1892,"Ірини Бекешкіної вул. (Карбишева генерала), 18Б",9000,2,45.0,Дніпровський
1894,"Автозаводська вул., 89а",8000,3,70.0,Оболонський
1895,"Велика Васильківська вул. (Червоноармійська), 102",19000,2,47.0,Голосіївський
1896,"Центральна вул., 21А",21000,2,65.0,Дарницький
1897,"Микільсько-Слобідська вул., 1А",18000,2,80.0,Дніпровський
1898,"Соборності просп. (Возз'єднання), 30А",17000,2,77.0,Дніпровський
1899,"Казимира Малевича вул. (Боженка), 89",16000,1,55.0,Голосіївський
1900,"Генерала Алмазова вул. (Кутузова), 1",16000,2,55.0,Печерський
1901,"Харківське шосе, 9",10000,2,52.0,Дніпровський
1902,"Теремківська вул., 4а",14000,2,40.0,Голосіївський
1903,"Лесі Українки бульв., 30б",20000,2,77.0,Печерський
1904,"Князя Романа Мстиславича вул. (Жмаченка генерала), 28",19990,1,48.0,Дніпровський
1905,"Євгена Коновальця вул. (Щорса), 32Б",26000,3,145.0,Печерський
1906,"Дніпровська наб., 14а",25900,2,86.0,Дарницький
1907,"Володимира Івасюка просп. (Героїв Сталінграда), 2г к1",18000,1,57.0,Оболонський
1908,"Володимира Івасюка просп. (Героїв Сталінграда), 12г",24000,4,180.0,Оболонський
1909,"Льва Толстого вул., 43",20350,2,66.0,Голосіївський
1910,"Володимира Івасюка просп. (Героїв Сталінграда), 12е",28000,3,94.0,Оболонський
1911,"Вишняківська вул., 2",20000,2,60.0,Дарницький
1912,"Банкова вул., 1/10",37000,2,90.0,Печерський
1913,"Пушкінська вул., 11",25900,2,70.0,Шевченківський
1914,"Сергія Данченка вул., 34а",14000,2,41.0,Подільський
1915,"Оболонський просп., 12",15000,2,48.0,Оболонський
1916,"Автозаводська вул., 15а",9000,1,48.0,Оболонський
1917,"Автозаводська вул., 89а",8000,2,66.0,Оболонський
1918,"Вишгородська вул., 45/2",25000,4,155.0,Подільський
1919,"Кирилівська вул. (Фрунзе), 168",12000,1,41.0,Оболонський
1920,"Володимира Івасюка просп. (Героїв Сталінграда), 10а",22500,2,60.0,Оболонський
1921,"Оболонський просп., 40а",12000,2,52.0,Оболонський
1922,"Закревського Миколи вул., 42а",8000,1,40.0,Деснянський
1923,"Кондратюка Юрія вул., 3",14000,1,45.0,Оболонський
1924,"Олександра Архипенка вул. (Залки Мате), 12/3",10000,2,51.0,Оболонський
1925,"Прирічна вул., 27",8800,2,61.0,Оболонський
1926,"Вишгородська вул., 45б/1",14000,1,52.0,Подільський
1927,"Богатирська вул., 6а",14000,1,36.0,Оболонський
1928,"Оболонський просп., 13",8500,1,37.0,Оболонський
1929,"Володимира Івасюка просп. (Героїв Сталінграда), 18а",14900,1,65.0,Оболонський
1930,"Кондратюка Юрія вул., 3",11500,1,45.0,Оболонський
1931,"Бережанська вул., 10",8000,2,56.0,Оболонський
1932,"Сеноманський пров., 16",10000,3,70.0,Дніпровський
1933,"Ахматової Анни вул., 31",12000,3,104.0,Дарницький
1934,"Героїв полку ""Азов"" вул. (Малиновського маршала), 27/23",10000,2,50.0,Оболонський
1935,"Лесі Українки бульв., 7В",55500,3,90.0,Печерський
1937,"Зарічна вул., 6",24000,2,66.0,Дарницький
1938,"Жилянська вул., 68",27750,1,45.0,Шевченківський
1940,"Оленівська вул., 34",13000,2,45.0,Подільський
1941,"Зарічна вул., 3А",14000,1,30.0,Дарницький
1942,"Самійла Кішки вул. (Конєва), 5б",17000,1,35.0,Голосіївський
1943,"Джона Маккейна вул. (Кудрі Івана), 7",25000,2,52.0,Печерський
1944,"Казимира Малевича вул. (Боженка), 89",25000,1,56.0,Голосіївський
1945,"Василя Тютюнника вул. (Барбюса Анрі), 53",25000,1,42.0,Печерський
1946,"Предславинська вул., 12",11000,1,25.0,Печерський
1947,"Оболонський просп., 26",30000,2,40.0,Оболонський
1948,"Деміївська вул., 16",15499,1,52.0,Голосіївський
1949,"Драгомирова вул., 12",29600,2,55.0,Печерський
1950,"Підвисоцького професора вул., 21",11900,2,47.0,Печерський
1951,"Лаврська вул., 21",12000,2,45.0,Печерський
1952,"Пушкінська вул., 11а",24000,2,90.0,Шевченківський
1953,"Лесі Українки бульв., 19",19000,3,65.0,Печерський
1954,"Кловський узвiз, 14/24",20000,3,72.0,Печерський
1955,"Велика Васильківська вул. (Червоноармійська), 114",13000,2,50.0,Голосіївський
1956,"Святошинська вул., 6",13000,2,56.0,Святошинський
1957,"Щекавицька вул., 42/48",22000,3,73.0,Подільський
1958,"Євгена Коновальця вул. (Щорса), 37",12500,2,53.0,Печерський
1959,"Старонаводницька вул., 6б",29600,3,90.0,Печерський
1960,"Шулявська вул., 15/23",11500,1,31.0,Шевченківський
1963,"Хрещатик вул., 13",20000,1,40.0,Печерський
1965,"Євгена Коновальця вул. (Щорса), 34а",48100,2,86.0,Печерський
1966,"Липківского Василя вул. (Урицького), 16в",44400,3,90.1,Солом'янський
1967,"Липківского Василя вул. (Урицького), 16б",44400,3,92.0,Солом'янський
1968,"Глибочицька вул., 13",25000,2,60.0,Шевченківський
1969,"Бастіонна вул., 5",10000,1,40.0,Печерський
1970,"Казимира Малевича вул. (Боженка), 89",31450,2,80.0,Голосіївський
1972,"Бажана Миколи просп., 1А",23000,2,67.0,Дарницький
1973,"Донця Михайла вул., 10",14800,1,33.0,Солом'янський
1974,"Доброхотова академіка вул., 1б",9000,2,54.0,Святошинський
1975,"Бакинська вул., 37",8700,2,48.0,Шевченківський
1976,"Старокиївська вул., 25",10000,2,45.0,Шевченківський
1977,"Симона Петлюри вул. (Комінтерну), 20",20000,2,60.0,Шевченківський
1978,"Білоруська вул., 15",9000,2,45.0,Шевченківський
1979,"Родини Кістяківських вул., 6",18000,1,36.6,Голосіївський
1980,"Казимира Малевича вул. (Боженка), 89",25000,1,56.0,Голосіївський
1981,"Предславинська вул., 55",27750,2,43.0,Печерський
1982,"Драгомирова вул., 2а",29600,2,80.0,Печерський
1983,"Джона Маккейна вул. (Кудрі Івана), 7",29600,2,43.0,Печерський
1984,"Євгена Коновальця вул. (Щорса), 32г",29600,3,140.0,Печерський
1985,"Малопідвальна вул., 21/8",19000,2,55.0,Шевченківський
1986,"Десятинний пров., 7",20000,2,70.0,Шевченківський
1987,"Євгена Коновальця вул. (Щорса), 36е",17575,1,42.0,Печерський
1988,"Глибочицька вул., 32а",25900,1,70.0,Шевченківський
1989,"Ковпака вул., 17",29600,3,119.0,Печерський
1990,"Зодчих вул., 18",5000,1,30.0,Святошинський
1991,"Салютна вул., 2б",25000,3,85.0,Шевченківський
1992,"Тупикова генерала вул., 14В",8500,2,47.0,Солом'янський
1993,"Берестейський просп. (Перемоги), 71",13000,1,43.0,Святошинський
1994,"Драгомирова вул., 3",37000,2,86.0,Печерський
1995,"Мишуги Олександра вул., 2",25000,5,150.0,Дарницький
1996,"Всеволода Змієнка вул., 21",13800,2,48.0,Подільський
1997,"Сім’ї Стешенків вул. (Строкача Тимофія), 7",10000,1,45.0,Святошинський
1998,"Шолуденка вул., 1в",20000,1,40.0,Шевченківський
1999,"Драгомирова вул., 11",40700,2,65.0,Печерський
2000,"Басейна вул., 3",14999,1,36.0,Печерський
2001,"Мишуги Олександра вул., 8",11000,2,75.0,Дарницький
2003,"Кловський узвiз, 11",24975,2,55.0,Печерський
2004,"Золотоворітська вул., 2",18500,1,42.0,Шевченківський
2005,"Кудрявський узвiз, 3а",20000,3,112.0,Шевченківський
2006,"Мала Житомирська вул., 10",29600,2,60.0,Шевченківський
2007,"Тарасівська вул., 3",24050,2,55.0,Голосіївський
2008,"Нижньоключова вул., 14",27000,3,72.0,Солом'янський
2009,"Берестейський просп. (Перемоги), 5В",48100,1,45.0,Шевченківський
2010,"Гончара Олеся вул., 2",22200,2,80.0,Шевченківський
2011,"Зарічна вул., 1б",19500,1,50.0,Дарницький
2012,"Полкова вул., 72",8000,1,34.0,Подільський
2013,"Юрія Іллєнка вул. (Мельникова), 83Д",24000,3,100.0,Шевченківський
2014,"Івана Котляревського бульв. (Праці), 6/14",13000,3,60.0,Дніпровський
2015,"Максимовича вул. (Трутенка Онуфрія), 26б",17000,1,37.0,Голосіївський
2016,"Коломыйский пер, 17/31А",18000,2,80.0,Голосіївський
2017,"Джона Маккейна вул. (Кудрі Івана), 1",22200,1,46.2,Печерський
2020,"Патріарха Мстислава Скрипника вул., 48а",24999,3,78.0,Солом'янський
2021,"Половецька вул., 16Б",10000,1,35.0,Шевченківський
2022,"Дмитрівська вул., 75",49000,5,169.0,Шевченківський
2023,"Лесі Українки бульв., 7Б",29600,2,56.0,Печерський
2025,"Генерала Алмазова вул. (Кутузова), 2",9800,2,44.0,Печерський
2026,"Ореста Левицького вул. (Курчатова академіка), 13",9500,2,50.0,Деснянський
2027,"Шевченка Тараса бульв., 58",23000,4,90.0,Шевченківський
2028,"Котельникова Михайла вул., 25",11950,2,51.0,Святошинський
2029,"Василя Тютюнника вул. (Барбюса Анрі), 5в",33300,4,160.0,Печерський
2030,"Степана Бандери просп. (Московський), 32д",31450,2,70.0,Оболонський
2031,"Алма-Атинська вул., 70",6000,2,45.0,Дніпровський
2032,"Дмитрівська вул., 15-17",22000,3,105.0,Шевченківський
2033,"Жилянська вул., 118",25900,2,65.0,Шевченківський
2034,"Осокорська вул., 2а",19499,1,50.0,Дарницький
2035,"Бориса Гмирі вул., 16",8500,1,38.0,Дарницький
2036,"Шолом-Алейхема вул., 6",9999,3,57.0,Деснянський
2037,"Велика Васильківська вул. (Червоноармійська), 20",21999,3,70.0,Печерський
2038,"Берестейський просп. (Перемоги), 26а",37000,3,75.0,Шевченківський
2039,"Ахматової Анни вул., 31",14499,2,65.0,Дарницький
2040,"Татарська вул., 7",18500,3,110.0,Шевченківський
2041,"Володимирська вул., 18",51763,2,55.0,Шевченківський
2042,"Левандовська вул. (Аніщенка), 12",37000,3,130.0,Печерський
2043,"Солом'янська вул., 15а",40663,3,140.0,Солом'янський
2044,"Софіївська вул., 1",40663,3,80.0,Шевченківський
2045,"Максимовича вул. (Трутенка Онуфрія), 32",15999,1,53.0,Солом'янський
2046,"Драгомирова вул., 7",55463,3,120.0,Печерський
2047,"Харківське шосе, 174а",9999,2,57.0,Дарницький
2048,"Філатова академіка вул., 1/22",13000,3,61.0,Печерський
2049,"Туманяна Ованеса вул., 15",11000,1,52.0,Дніпровський
2050,"Гусовського вул., 12/7",25900,2,68.0,Печерський
2052,"Драгомирова вул., 16",44400,3,115.0,Печерський
2054,"Лесі Українки бульв., 15",14999,1,30.0,Печерський
2055,"Вільгельма Котарбінського вул. (Кравченка Миколи), 19",10000,2,52.0,Шевченківський
2056,"Глушкова академіка просп., 9е",12000,1,56.0,Голосіївський
2057,"Романа Шухевича просп. (Ватутіна), 4б",8500,3,67.0,Дніпровський
2058,"Воскресенська вул., 14б",10500,2,78.0,Дніпровський
2059,"Юності вул., 2",11000,2,52.0,Дніпровський
2060,"Окіпної Раїси вул., 4",30000,4,167.0,Дніпровський
2061,"Окіпної Раїси вул., 10а",22000,2,90.0,Дніпровський
2062,"Євгена Сверстюка вул. (Раскової Марини), 6а",20000,3,72.0,Дніпровський
2063,"Ентузіастів вул., 35",12000,1,25.0,Дніпровський
2064,"Комбінатна вул., 25",13000,2,65.0,Дніпровський
2065,"Інтернаціонального Легіону вул. (Петра Запорожця), 26а",18000,3,110.0,Дніпровський
2066,"Комбінатна вул., 25а",9900,1,44.0,Дніпровський
2067,"Мокра вул. (Кудряшова), 20б",34000,2,86.0,Солом'янський
2068,"Леоніда Каденюка просп. (Гагаріна Юрія), 12/1",9500,2,43.5,Дніпровський
2069,"Микільсько-Слобідська вул., 3а",26000,2,76.0,Дніпровський
2070,"Пантелеймона Куліша вул. (Челябінська), 9",10000,2,52.0,Дніпровський
2071,"Гната Хоткевича вул. (Червоногвардійська), 12",13000,1,50.0,Дніпровський
2072,"Навої Алішера просп., 69",10000,1,51.0,Дніпровський
2073,"Кіото вул., 3",10000,2,44.0,Деснянський
2074,"Інститутська вул., 15/5",24050,2,90.0,Печерський
2076,"Дніпровська наб., 1",37000,2,83.0,Дніпровський
2077,"Дніпровська наб., 1",55500,3,130.0,Дніпровський
2078,"Окіпної Раїси вул., 5",15000,2,47.0,Дніпровський
2079,"Митрополита Андрея Шептицького вул. (Луначарського Анатолія), 12",15000,3,123.0,Дніпровський
2080,"Миропільська вул., 39",12000,2,67.4,Дніпровський
2081,"Соборності просп. (Возз'єднання), 30",27000,3,110.0,Дніпровський
2082,"Харківське шосе, 176б",7000,1,30.0,Дарницький
2083,"Ентузіастів вул., 29/1",12500,2,53.0,Дніпровський
2084,"Окіпної Раїси вул., 10б",14000,3,110.0,Дніпровський
2085,"Русанівський бульв., 9",14500,2,52.0,Дніпровський
2086,"Русанівська набережна вул., 4/1",9000,2,52.0,Дніпровський
2087,"Червоноткацька вул., 43",13000,1,56.0,Дніпровський
2088,"Миропільська вул., 39",16000,2,76.0,Дніпровський
2089,"Євгена Сверстюка вул. (Раскової Марини), 6в",16900,1,45.0,Дніпровський
2090,"Дніпровська наб., 13",9000,1,45.0,Дніпровський
2091,"Матеюка Миколи вул., 9",8000,1,30.0,Деснянський
2092,"Микільсько-Слобідська вул., 4в",12000,2,78.0,Дніпровський
2093,"Братиславська вул., 2",10500,1,34.0,Деснянський
2094,"Микільсько-Слобідська вул., 2б",15500,3,110.0,Дніпровський
2095,"Велика Васильківська вул. (Червоноармійська), 49",24050,2,50.0,Печерський
2096,"Феодосійський пров., 14",14000,1,49.0,Голосіївський
2097,"Бульварно-Кудрявська вул. (Воровського), 17Б",29600,1,44.0,Шевченківський
2098,"Липківского Василя вул. (Урицького), 16г",22000,1,48.0,Солом'янський
2099,"Дегтярна вул., 7",37000,1,53.0,Подільський
2100,"Олійника Степана вул., 5",12000,2,48.0,Дарницький
2101,"Ахматової Анни вул., 28",12000,2,75.0,Дарницький
2102,"Мишуги Олександра вул., 2",10000,1,46.0,Дарницький
2103,"Дніпровська наб., 19",16000,2,72.0,Дарницький
2104,"Зарічна вул., 1г",24000,2,45.0,Дарницький
2105,"Центральна вул., 21",12000,1,51.0,Дарницький
2106,"Бажана Миколи просп., 1а",18000,2,50.0,Дарницький
2107,"Центральна вул., 19",10000,1,30.0,Дарницький
2108,"Софії Русової вул., 5б",12000,1,40.0,Дарницький
2109,"Сікорського Ігоря вул. (Танкова), 4в",25900,2,78.0,Шевченківський
2110,"Євгена Сверстюка вул. (Раскової Марини), 6Г",12000,1,23.0,Дніпровський
2111,"Центральна вул., 21",13000,1,40.0,Дарницький
2112,"Шота Руставелі вул., 25",12000,1,35.0,Печерський
2113,"Володимирська вул., 82а",14990,2,55.0,Голосіївський
2114,"Юрія Іллєнка вул. (Мельникова), 87",12000,1,29.0,Шевченківський
2115,"Лесі Українки бульв., 24",30000,3,90.0,Печерський
2116,"Лесі Українки бульв., 17",22000,1,45.0,Печерський
2117,"Симиренка вул., 28",5000,1,37.0,Святошинський
2118,"Берестейський просп. (Перемоги), 65б",21000,2,70.0,Шевченківський
2119,"Василя Тютюнника вул. (Барбюса Анрі), 51/1",27750,1,55.0,Печерський
2120,"Регенераторна вул., 4",15000,1,37.0,Дніпровський
2121,"Васильківська вул., 100 а",13000,1,30.0,Голосіївський
2122,"Ольжича вул., 11",8000,1,32.0,Шевченківський
2123,"Берестейський просп. (Перемоги), 5в",24050,1,46.0,Шевченківський
2124,"Пимоненка Миколи вул., 5",10000,1,40.0,Шевченківський
2125,"Вацлава Гавела бульв. (Лепсе Івана), 3",16500,2,50.0,Солом'янський
2126,"Мазепи Івана вул. (Січневого Повстання), 14",37000,2,70.0,Печерський
2128,"Василенка Миколи вул., 4",6500,2,45.0,Солом'янський
2129,"Сікорського Ігоря вул. (Танкова), 4д",23000,2,69.0,Шевченківський
2130,"Городецького архітектора вул., 6",27750,2,49.0,Печерський
2131,"Міцкевича Адама вул., 5",11000,3,85.0,Солом'янський
2132,"Ентузіастів вул., 9/1",9000,1,35.0,Дніпровський
2133,"Кадетський Гай вул., 10",10000,1,31.0,Солом'янський
2134,"Феодосійський пров., 14а",14000,2,65.0,Голосіївський
2135,"Максимовича вул. (Трутенка Онуфрія), 28б",15000,1,37.0,Голосіївський
2136,"Берестейський просп. (Перемоги), 19",14000,3,72.0,Шевченківський
2137,"Бориса Гмирі вул., 17",11000,1,40.0,Дарницький
2138,"Примаченко Марії бульв. (Лихачова), 4",14000,1,34.0,Печерський
2139,"Берестейський просп. (Перемоги), 67",20000,3,68.0,Шевченківський
2140,"Генерала Шаповала вул. (Механізаторів), 7",11500,1,35.0,Солом'янський
2141,"Берестейський просп. (Перемоги), 55а",20000,2,55.0,Солом'янський
2142,"Липківского Василя вул. (Урицького), 24",13000,1,37.0,Солом'янський
2143,"Іринінська вул., 1/3",35150,2,96.0,Шевченківський
2144,"Пчілки Олени вул., 6",11000,2,67.0,Дарницький
2145,"Саперно-Слобідська вул., 10",21275,2,78.0,Голосіївський
2146,"Володимира Сальського вул. (Котовського), 9/27а",16000,3,95.0,Шевченківський
2147,"Бастіонна вул., 5",11000,1,40.0,Печерський
2148,"Липківского Василя вул. (Урицького), 28",10000,2,50.0,Солом'янський
2149,"Чорнобильська вул., 10",7000,1,33.0,Святошинський
2151,"Дніпровська наб., 25",19000,3,105.0,Дарницький
2152,"Драгомирова вул., 4б",25900,2,45.0,Печерський
2153,"Тимошенка маршала вул., 21",22200,1,45.0,Оболонський
2154,"Василя Тютюнника вул. (Барбюса Анрі), 28а",33300,2,60.0,Печерський
2155,"Лісківська вул., 6а",5000,1,30.0,Деснянський
2156,"Лесі Українки бульв., 7а",20000,2,59.0,Печерський
2157,"Липківского Василя вул. (Урицького), 16а",55500,4,125.0,Солом'янський
2158,"Ракетна вул., 24б",9000,1,32.0,Голосіївський
2159,"Окіпної Раїси вул., 10а",18000,2,75.0,Дніпровський
2160,"Новопольова вул., 2",25000,2,65.0,Солом'янський
2161,"Берестейський просп. (Перемоги), 26 а",23000,1,56.0,Шевченківський
2162,"Юрія Іллєнка вул. (Мельникова), 18б",17500,2,77.0,Шевченківський
2163,"Білоруська вул., 36а",15000,1,50.0,Шевченківський
2164,"Берестейський просп. (Перемоги), 65 б",16000,1,50.0,Святошинський
2165,"Вербицького архітектора вул., 14б",10499,2,55.0,Дарницький
2166,"Бажана Миколи просп., 10",16000,3,97.0,Дарницький
2167,"Юлії Здановської вул. (Ломоносова), 75А",19000,2,108.0,Голосіївський
2168,"Деміївська вул., 33",44400,3,70.0,Голосіївський
2169,"Мазепи Івана вул. (Січневого Повстання), 12",15000,1,30.0,Печерський
2170,"Вацлава Гавела бульв. (Лепсе Івана), 6/7",17000,1,43.0,Солом'янський
2171,"Лабораторний пров., 7",37000,2,70.0,Печерський
2172,"Урлівська вул., 10а",10500,2,80.0,Дарницький
2173,"Гетьмана Павла Скоропадського  вул. (Льва Толстого), 25",19000,3,90.0,Шевченківський
2174,"Краківська вул., 27",12999,1,47.0,Дніпровський
2175,"Регенераторна вул., 4к6",15000,1,45.0,Дніпровський
2176,"Берестейський просп. (Перемоги), 109а",13999,1,45.0,Святошинський
2177,"Назарівська вул. (Вєтрова), 11",55500,2,95.0,Шевченківський
2178,"Терещенківська вул., 19",35150,2,87.0,Шевченківський
2179,"Берестейський просп. (Перемоги), 18",12000,2,46.0,Шевченківський
2180,"Воздвиженська вул., 48",27750,2,70.0,Подільський
2181,"Регенераторна вул., 4",15000,1,45.0,Дніпровський
2182,"Гончарна вул., 3",27750,2,70.0,Подільський
2184,"Ростиславська  вул. (Рибалка маршала), 5б",14999,1,38.0,Шевченківський
2185,"Загорівська вул. (Багговутівська), 3/15",12000,2,48.0,Шевченківський
2186,"Поповича космонавта вул. (Волкова космонавта), 20а",7500,1,33.0,Деснянський
2187,"Берестейський просп. (Перемоги), 15",17000,3,60.0,Шевченківський
2188,"Лесі Українки бульв., 5",20000,3,65.0,Печерський
2189,"Регенераторна вул., 4к14",25000,3,98.0,Дніпровський
2190,"Регенераторна вул., 4",12500,1,46.0,Дніпровський
2191,"Туполєва академіка вул., 17а",8500,1,31.0,Шевченківський
2192,"Борщагівська вул., 10",12000,2,45.0,Шевченківський
2194,"Юлії Здановської вул. (Ломоносова), 73",30000,2,80.0,Голосіївський
2195,"Юрія Іллєнка вул. (Мельникова), 18б",20000,2,80.0,Шевченківський
2196,"Драгоманова вул., 40з",11000,1,53.0,Дарницький
2197,"Симона Петлюри вул. (Комінтерну), 8",20000,2,71.0,Шевченківський
2198,"Михайла Бойчука вул. (Кіквідзе), 19а",22200,1,40.0,Печерський
2199,"Дмитрівська вул., 46",20000,2,102.0,Шевченківський
2200,"Польова вул., 73",12000,2,45.0,Солом'янський
2201,"Літинська вул., 1а",11000,2,62.0,Дніпровський
2202,"Пироговського Олександра вул., 4",8500,2,50.0,Солом'янський
2203,"Володимира Івасюка просп. (Героїв Сталінграда), 6",29600,3,95.0,Оболонський
2204,"Дніпровська наб., 14а",22163,2,60.0,Дарницький
2205,"Тарасівська вул., 2",25900,2,52.0,Голосіївський
2206,"Велика Васильківська вул. (Червоноармійська), 124",13000,1,38.0,Голосіївський
2207,"Павлівська вул., 26/41",30000,3,110.0,Шевченківський
2208,"Підвисоцького професора вул., 16",14000,1,36.0,Печерський
2209,"Бориса Гмирі вул., 4",12000,2,75.0,Дарницький
2210,"Чорновола В'ячеслава вул., 25",25000,4,130.0,Шевченківський
2211,"Антоновича вул. (Горького), 131",25000,3,115.0,Голосіївський
2212,"Гетьмана Павла Скоропадського  вул. (Льва Толстого), 25",30000,3,83.0,Шевченківський
2213,"Молдавська, 2",22500,3,160.0,Солом'янський
2214,"Новопольова вул., 2а",15000,2,48.0,Солом'янський
2215,"Волинська вул., 10",33300,3,110.0,Солом'янський
2216,"Патріарха Мстислава Скрипника вул., 48 а",25500,3,80.0,Солом'янський
2217,"Чавдар Єлизавети вул., 1",32000,3,109.0,Дарницький
2218,"Сікорського Ігоря вул. (Танкова), 1",23000,3,78.0,Шевченківський
2219,"Регенераторна вул., 4",19000,2,65.0,Дніпровський
2220,"Деміївська вул., 13",25900,1,50.0,Голосіївський
2221,"Предславинська вул., 55",29600,1,43.0,Печерський
2222,"Дніпровська наб., 16г",18500,1,43.0,Дарницький
2223,"Володимирська вул., 65",29600,2,73.0,Голосіївський
2224,"Князів Острозьких вул. (Московська), 5/2б",40700,3,100.0,Печерський
2225,"Голосіївська вул., 13а",32930,3,90.0,Голосіївський
2226,"Старонаводницька вул., 6б",27750,2,87.0,Печерський
2227,"Саперно-Слобідська вул., 22",11500,2,60.4,Голосіївський
2228,"Білоруська вул., 36а",29600,2,53.0,Шевченківський
2229,"Бендукідзе Кахи вул., 2",22200,1,45.0,Печерський
2230,"Грінченка Бориса вул., 2",33300,3,60.0,Шевченківський
2231,"Срібнокільська вул., 1",20000,3,111.0,Дарницький
2232,"Шумського Юрія вул., 3г",18500,2,76.0,Дніпровський
2233,"Оболонський просп., 26",36963,1,52.0,Оболонський
2234,"Лютеранська вул., 2",22000,4,100.0,Печерський
2235,"Юрія Іллєнка вул. (Мельникова), 51б",29600,3,90.0,Шевченківський
2236,"Шовковична вул., 24",24050,2,80.0,Печерський
2237,"Лабораторний пров., 7",39326,2,65.0,Печерський
2238,"Практична вул., 2",18000,2,65.0,Голосіївський
2239,"Євгена Коновальця вул. (Щорса), 44а",37000,2,100.0,Печерський
2240,"Чавдар Єлизавети вул., 22",13000,2,78.0,Дарницький
2241,"Малевича, 53/30",23000,2,110.0,Печерський
2242,"Жилянська вул., 30/32",20000,2,45.0,Шевченківський
2243,"Пушиної Феодори вул., 23",16000,3,105.0,Святошинський
2244,"Предславинська вул., 53",29600,2,56.0,Печерський
2245,"Бажана Миколи просп., 12",12000,1,50.0,Дарницький
2246,"Малишка Андрія вул., 19",8000,3,62.0,Дніпровський
2247,"Ярославський пров., 7/9",29600,2,124.0,Подільський
2248,"Виноградний пров., 6",15500,3,83.0,Печерський
