,flat_street,flat_price,flat_room_count,flat_area,flat_district
4773,"Старонаводницька вул., 13",44400,4,170.0,Печерський
4774,"Хорива вул., 39",40700,3,150.0,Подільський
4775,"Відрадний просп. (Чубаря), 14/45",9000,2,45.0,Солом'янський
4776,"Юрія Іллєнка вул. (Мельникова), 51б",29600,3,90.0,Шевченківський
4777,"Тургенєвська вул., 64/68",15000,2,66.0,Шевченківський
4778,"Лагерна вул., 40",9000,2,50.0,Шевченківський
4779,"Чугуївський пров., 15",9000,1,40.0,Солом'янський
4780,"Миколи Міхновського бульв. (Дружби Народів), 9",20000,2,48.0,Печерський
4781,"Петрицького Анатолія вул., 17",24000,2,90.0,Святошинський
4782,"Миколи Міхновського бульв. (Дружби Народів), 27",15000,1,45.0,Печерський
4783,"Українського відродження вул. (Бударіна), 5",5000,1,36.0,Святошинський
4784,"Чоколівський бульв., 40",10000,2,42.0,Солом'янський
4785,"Червоної Калини просп. (Маяковського Володимира), 28-а",6000,1,37.0,Деснянський
4786,"Солом'янська вул., 38",8000,2,46.0,Солом'янський
4787,"Бульварно-Кудрявська вул. (Воровського), 15",33300,2,50.0,Шевченківський
4788,"Кулібіна вул., 6",14000,2,60.0,Святошинський
4789,"Леся Курбаса просп. (50-річчя Жовтня), 3 г",12000,3,75.0,Святошинський
4790,"Ахматової Анни вул., 16б",10000,2,72.0,Дарницький
4793,"Костьольна вул., 9",55500,3,85.0,Шевченківський
4794,"Каховська вул., 58",10000,1,42.0,Дніпровський
4795,"Канальна вул., 8",12000,1,44.3,Дарницький
4796,"Харківське шосе, 19А",10000,2,96.0,Дніпровський
4797,"Володимира Івасюка просп. (Героїв Сталінграда), 60",11500,3,70.0,Оболонський
4798,"Євгена Коновальця вул. (Щорса), 44а",25900,2,60.0,Печерський
4802,"Окіпної Раїси вул., 18",46250,2,80.0,Дніпровський
4803,"Окіпної Раїси вул., 18",31450,2,65.0,Дніпровський
4804,"Васильківська вул., 5/7",15000,2,45.0,Голосіївський
4805,"Антоновича вул. (Горького), 44",40700,2,45.0,Голосіївський
4808,"Саперне Поле вул., 5",51763,2,61.0,Печерський
4809,"Василя Тютюнника вул. (Барбюса Анрі), 37/1",25000,2,85.0,Печерський
4810,"Дмитрівська вул., 2",27750,3,75.0,Шевченківський
4811,"Самійла Кішки вул. (Конєва), 10/1",24500,3,72.0,Голосіївський
4813,"Ващенко Григорія, 7",14000,2,64.0,Дарницький
4814,"Олександра Архипенка вул. (Залки Мате), 12/3",9900,2,52.0,Оболонський
4815,"Лабораторний пров., 7",37000,1,65.0,Печерський
4816,"Заньковецької вул., 6",55500,4,180.0,Печерський
4817,"Татарський пров., 8",8800,3,70.0,Шевченківський
4818,"Зарічна вул., 1",26900,2,65.0,Дарницький
4820,"Шолуденка вул., 1а",21000,1,45.0,Шевченківський
4821,"Драгомирова вул., 4б",22000,2,55.0,Печерський
4822,"Наддніпрянське шосе, 1-А",12000,1,36.0,Голосіївський
4823,"Михайла Максимовича, 7А",10000,1,42.0,Голосіївський
4824,"Ушакова Миколи вул., 14а",8000,1,43.0,Святошинський
4825,"Хрещатик вул., 21",27000,2,65.0,Печерський
4826,"Оноре Бальзака, 63",10000,1,45.0,Деснянський
4827,"Дніпровська наб., 19",18000,3,110.0,Дарницький
4828,"Миропільська вул., 21",8000,2,55.0,Дніпровський
4829,"Василя Тютюнника вул. (Барбюса Анрі), 5в",33300,4,160.0,Печерський
4831,"Лесі Українки бульв., 9в",15000,3,83.0,Печерський
4832,"Зодчих вул., 26",6000,2,47.0,Святошинський
4834,"Драйзера Теодора вул., 40",6500,2,60.0,Деснянський
4835,"Джона Маккейна вул. (Кудрі Івана), 1Б",40700,1,52.0,Печерський
4836,"Чорновола В'ячеслава вул., 27",15000,1,40.0,Шевченківський
4837,"Дегтярівська вул., 25А",17000,2,76.0,Шевченківський
4840,"Антоновича вул. (Горького), 140",19500,3,184.0,Голосіївський
4841,"Воздвиженська вул., 16",18000,3,110.0,Подільський
4842,"Тичини Павла просп., 2",55500,2,130.0,Дніпровський
4843,"Богданівська вул., 7Д",18000,1,45.0,Солом'янський
4844,"Льва Толстого вул., 33",24498,2,63.0,Голосіївський
4845,"Дніпроводська вул., 1",4000,1,28.0,Оболонський
4846,"Банкова вул., 3",19000,4,150.0,Печерський
4847,"Дніпровська наб., 19в",17500,2,85.0,Дарницький
4848,"Вербицького архітектора вул., 22/1",15500,5,92.0,Дарницький
4849,"Гонгадзе Георгiя просп. (Радянської України), 20",5000,2,62.0,Подільський
4850,"Будищанська вул., 6",6500,1,36.0,Деснянський
4851,"Пушиної Феодори вул., 49",7500,2,54.0,Святошинський
